gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Family,OnlineService,StreamingService,FullService,security,backup,protect,support,InsuranceServices
Female,0,Yes,Yes,69,Yes,2,Fiber optic,2,2,2,2,2,2,2,No,Credit card,113.25,789515.0,0,0,1,1,1,1,1,1,1,4
Female,0,No,No,52,Yes,1,No,0,0,0,0,0,0,1,No,Mailed check,20.65,102295.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,Yes,71,Yes,2,Fiber optic,2,1,2,1,2,2,2,No,Bank transfer,106.7,738225.0,0,0,0,1,0,1,0,1,0,2
Female,0,Yes,Yes,10,Yes,1,DSL,1,1,2,2,1,1,0,No,Credit card,55.2,52835.0,1,0,0,0,0,0,0,1,1,2
Female,0,No,No,21,Yes,1,Fiber optic,1,2,2,1,1,2,0,Yes,Electronic check,90.05,186290.0,0,0,0,0,0,0,1,1,0,2
Male,1,No,No,1,No,0,DSL,1,1,2,1,1,2,0,Yes,Electronic check,39.65,3965.0,1,0,0,0,0,0,0,1,0,1
Male,0,Yes,No,12,Yes,1,No,0,0,0,0,0,0,1,No,Bank transfer,19.8,20225.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,1,Yes,1,No,0,0,0,0,0,0,0,No,Mailed check,20.15,2015.0,1,0,0,0,0,0,0,0,0,0
Female,0,Yes,No,58,Yes,2,DSL,1,2,1,2,1,1,2,Yes,Credit card,59.9,350510.0,0,0,0,0,0,0,1,0,1,2
Male,0,Yes,Yes,49,Yes,1,DSL,2,2,1,2,1,1,0,No,Credit card,59.6,297030.0,0,0,1,0,0,1,1,0,1,3
Female,0,No,No,30,Yes,1,DSL,2,2,1,1,1,1,0,Yes,Bank transfer,55.3,153060.0,0,0,1,0,0,1,1,0,0,2
Male,0,Yes,Yes,47,Yes,2,Fiber optic,1,2,1,1,2,2,0,Yes,Electronic check,99.35,474915.0,1,0,0,1,0,0,1,0,0,1
Male,0,Yes,Yes,1,No,0,DSL,1,2,1,1,1,1,0,No,Electronic check,30.2,3020.0,1,0,0,0,0,0,1,0,0,1
Male,0,Yes,No,72,Yes,2,DSL,2,2,2,2,2,2,2,Yes,Credit card,90.25,636945.0,0,0,1,1,1,1,1,1,1,4
Female,0,No,Yes,17,Yes,1,DSL,1,1,1,1,2,2,0,Yes,Mailed check,64.7,109310.0,1,0,0,1,0,0,0,0,0,0
Female,1,Yes,No,71,Yes,2,Fiber optic,2,2,2,2,1,1,2,Yes,Credit card,96.35,676695.0,0,0,1,0,0,1,1,1,1,4
Male,1,Yes,No,2,Yes,1,Fiber optic,1,1,2,1,2,2,0,Yes,Credit card,95.5,18165.0,0,0,0,1,0,0,0,1,0,1
Female,0,Yes,Yes,27,Yes,1,DSL,2,2,2,2,1,1,1,No,Mailed check,66.15,187445.0,0,0,1,0,0,1,1,1,1,4
Male,0,No,No,1,Yes,1,No,0,0,0,0,0,0,0,No,Bank transfer,20.2,2020.0,0,0,0,0,0,0,0,0,0,0
Male,1,No,No,1,Yes,1,DSL,1,1,1,1,1,1,0,No,Bank transfer,45.25,4525.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,72,Yes,2,Fiber optic,2,2,1,2,2,1,2,No,Bank transfer,99.9,725170.0,0,0,1,0,0,1,1,0,1,3
Male,0,No,No,5,Yes,1,Fiber optic,1,1,1,1,1,1,0,Yes,Electronic check,69.7,31690.0,1,0,0,0,0,0,0,0,0,0
Female,0,No,No,46,Yes,1,Fiber optic,1,1,2,1,1,1,0,Yes,Credit card,74.8,354830.0,0,0,0,0,0,0,0,1,0,1
Male,0,No,No,34,Yes,2,Fiber optic,1,2,2,1,2,2,0,Yes,Electronic check,106.35,354925.0,1,0,0,1,0,0,1,1,0,2
Female,0,No,No,11,Yes,2,Fiber optic,1,1,2,1,2,2,0,Yes,Bank transfer,97.85,110540.0,1,0,0,1,0,0,0,1,0,1
Male,0,Yes,Yes,10,Yes,1,DSL,1,2,1,1,1,1,1,No,Mailed check,49.55,47570.0,0,0,0,0,0,0,1,0,0,1
Female,0,Yes,Yes,70,Yes,2,DSL,2,2,1,1,2,1,2,Yes,Credit card,69.2,487235.0,0,0,1,0,0,1,1,0,0,2
Female,0,Yes,Yes,17,Yes,1,No,0,0,0,0,0,0,1,No,Mailed check,20.75,41825.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,No,63,Yes,2,DSL,2,2,2,2,2,1,2,Yes,Credit card,79.85,486145.0,0,0,1,0,0,1,1,1,1,4
Female,0,Yes,No,13,Yes,2,DSL,2,2,1,2,2,1,0,Yes,Electronic check,76.2,98145.0,0,0,1,0,0,1,1,0,1,3
Female,0,No,No,49,Yes,2,Fiber optic,1,1,1,1,1,2,0,Yes,Electronic check,84.5,390670.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,2,Yes,1,DSL,1,2,1,1,1,1,0,No,Mailed check,49.25,9700.0,0,0,0,0,0,0,1,0,0,1
Female,0,No,No,2,Yes,1,Fiber optic,1,1,1,1,2,1,0,Yes,Electronic check,80.65,14415.0,1,0,0,0,0,0,0,0,0,0
Male,0,No,No,52,Yes,2,DSL,2,1,1,2,2,2,2,Yes,Credit card,79.75,421780.0,0,0,0,1,0,1,0,0,1,2
Female,0,Yes,Yes,69,Yes,2,DSL,2,1,2,2,1,1,2,Yes,Credit card,64.15,425410.0,0,0,0,0,0,1,0,1,1,3
Female,1,No,No,43,Yes,2,Fiber optic,1,2,1,1,2,1,0,Yes,Electronic check,90.25,383875.0,0,0,0,0,0,0,1,0,0,1
Female,0,No,No,15,Yes,1,Fiber optic,2,2,1,1,2,2,0,Yes,Credit card,99.1,142640.0,1,0,1,1,1,1,1,0,0,2
Female,1,Yes,No,25,Yes,2,DSL,2,1,1,2,2,1,0,Yes,Credit card,69.5,175265.0,0,0,0,0,0,1,0,0,1,2
Female,1,Yes,No,8,Yes,2,Fiber optic,1,2,1,1,1,1,0,Yes,Credit card,80.65,63330.0,1,0,0,0,0,0,1,0,0,1
Female,1,Yes,Yes,60,Yes,1,DSL,2,2,2,2,1,2,1,Yes,Credit card,74.85,445635.0,0,0,1,0,0,1,1,1,1,4
Male,1,No,No,18,Yes,2,Fiber optic,1,1,1,1,2,2,0,Yes,Electronic check,95.45,175255.0,1,0,0,1,0,0,0,0,0,0
Female,0,Yes,Yes,63,Yes,2,Fiber optic,2,1,1,1,2,2,1,Yes,Credit card,99.65,631120.0,0,0,0,1,0,1,0,0,0,1
Male,1,Yes,Yes,66,Yes,2,Fiber optic,1,2,2,2,2,2,1,Yes,Electronic check,108.45,707635.0,0,0,0,1,0,0,1,1,1,3
Female,0,Yes,Yes,34,Yes,2,No,0,0,0,0,0,0,2,No,Credit card,24.95,89430.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,No,72,Yes,2,Fiber optic,1,1,2,2,2,2,2,Yes,Credit card,107.5,785370.0,0,0,0,1,0,0,0,1,1,2
Female,0,Yes,No,47,Yes,2,Fiber optic,1,1,2,1,2,2,0,Yes,Electronic check,100.5,470710.0,0,0,0,1,0,0,0,1,0,1
Male,0,No,No,60,Yes,2,Fiber optic,1,2,1,1,2,1,0,Yes,Bank transfer,89.9,545070.0,0,0,0,0,0,0,1,0,0,1
Male,0,Yes,No,72,No,0,DSL,2,2,2,1,1,1,2,No,Bank transfer,42.1,296200.0,0,0,1,0,0,1,1,1,0,3
Female,0,Yes,Yes,18,Yes,1,DSL,1,1,2,2,1,1,1,Yes,Credit card,54.4,95710.0,0,0,0,0,0,0,0,1,1,2
Female,0,No,No,9,Yes,2,Fiber optic,1,1,1,1,2,2,0,No,Electronic check,94.4,85725.0,1,0,0,1,0,0,0,0,0,0
Female,0,No,No,3,Yes,1,DSL,1,2,1,2,2,2,0,Yes,Electronic check,75.3,24410.0,0,0,0,1,0,0,1,0,1,2
Male,0,Yes,No,47,Yes,2,Fiber optic,1,2,1,1,1,1,1,Yes,Electronic check,78.9,365035.0,0,0,0,0,0,0,1,0,0,1
Female,0,No,No,31,Yes,1,DSL,1,2,2,2,2,2,2,No,Mailed check,79.2,249720.0,0,0,0,1,0,0,1,1,1,3
Female,0,Yes,Yes,50,Yes,1,No,0,0,0,0,0,0,2,No,Bank transfer,20.15,93090.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,10,Yes,1,Fiber optic,2,1,2,1,1,1,0,Yes,Mailed check,79.85,88735.0,0,0,0,0,0,1,0,1,0,2
Male,0,No,No,1,Yes,1,DSL,1,1,1,2,1,1,0,No,Mailed check,49.05,4905.0,0,0,0,0,0,0,0,0,1,1
Female,0,Yes,Yes,52,Yes,1,No,0,0,0,0,0,0,1,Yes,Electronic check,20.4,109065.0,0,0,0,0,0,0,0,0,0,0
Male,1,Yes,Yes,64,Yes,2,Fiber optic,2,1,2,2,2,2,2,Yes,Bank transfer,111.6,709900.0,0,0,0,1,0,1,0,1,1,3
Male,0,Yes,Yes,62,Yes,2,No,0,0,0,0,0,0,2,Yes,Bank transfer,24.25,142460.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,Yes,3,Yes,1,DSL,2,1,1,2,1,2,0,Yes,Bank transfer,64.5,17740.0,0,0,0,0,0,1,0,0,1,2
Female,1,No,No,56,Yes,2,Fiber optic,2,2,2,1,2,2,1,No,Electronic check,110.5,613950.0,0,0,1,1,1,1,1,1,0,3
Female,0,No,No,46,Yes,1,DSL,1,1,1,1,1,2,1,No,Credit card,55.65,268885.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,8,Yes,1,DSL,2,2,1,1,1,1,0,No,Mailed check,54.65,48225.0,0,0,1,0,0,1,1,0,0,2
Male,1,No,No,30,Yes,1,DSL,2,2,1,1,2,2,0,Yes,Electronic check,74.75,211130.0,0,0,1,1,1,1,1,0,0,2
Female,0,Yes,Yes,45,Yes,2,No,0,0,0,0,0,0,1,Yes,Credit card,25.9,121660.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,Yes,1,Yes,1,Fiber optic,1,1,1,1,2,1,0,Yes,Electronic check,79.35,7935.0,1,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,11,No,0,DSL,2,1,1,1,2,2,0,No,Electronic check,50.55,56535.0,0,0,0,1,0,1,0,0,0,1
Female,0,Yes,No,7,Yes,1,Fiber optic,1,1,2,1,1,1,0,Yes,Bank transfer,75.15,49690.0,1,0,0,0,0,0,0,1,0,1
Female,0,No,No,42,Yes,1,Fiber optic,1,2,2,2,2,2,0,Yes,Bank transfer,103.8,432750.0,0,0,0,1,0,0,1,1,1,3
Female,0,Yes,No,49,Yes,1,No,0,0,0,0,0,0,2,Yes,Bank transfer,20.15,97335.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,9,Yes,2,Fiber optic,1,2,1,1,2,2,0,Yes,Credit card,99.3,91875.0,0,0,0,1,0,0,1,0,0,1
Female,0,Yes,No,35,Yes,1,DSL,2,1,1,1,2,1,1,Yes,Bank transfer,62.15,221545.0,0,0,0,0,0,1,0,0,0,1
Female,0,Yes,Yes,48,Yes,1,No,0,0,0,0,0,0,2,No,Bank transfer,20.65,105700.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,46,Yes,1,No,0,0,0,0,0,0,2,Yes,Mailed check,19.95,92710.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,No,29,No,0,DSL,1,1,1,1,2,1,0,No,Mailed check,33.75,100925.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,Yes,30,Yes,1,Fiber optic,1,2,2,1,1,1,0,No,Bank transfer,82.05,257020.0,0,0,0,0,0,0,1,1,0,2
Male,1,No,No,1,Yes,1,Fiber optic,1,1,1,2,1,1,0,No,Electronic check,74.7,7470.0,0,0,0,0,0,0,0,0,1,1
Male,0,Yes,Yes,66,Yes,2,DSL,2,1,2,2,2,2,2,Yes,Mailed check,84.0,571425.0,0,0,0,1,0,1,0,1,1,3
Female,0,No,No,65,Yes,2,Fiber optic,2,2,2,1,2,2,0,Yes,Credit card,111.05,710700.0,0,0,1,1,1,1,1,1,0,3
Male,0,No,No,72,Yes,2,Fiber optic,1,2,2,1,2,2,2,Yes,Bank transfer,100.9,745905.0,0,0,0,1,0,0,1,1,0,2
Female,0,No,No,12,Yes,2,Fiber optic,2,1,1,1,1,1,0,Yes,Electronic check,78.95,92735.0,1,0,0,0,0,1,0,0,0,1
Male,0,Yes,Yes,71,Yes,2,DSL,2,2,1,2,1,1,1,Yes,Credit card,66.85,474870.0,0,0,1,0,0,1,1,0,1,3
Male,0,No,No,5,Yes,1,No,0,0,0,0,0,0,0,No,Mailed check,21.05,11385.0,1,0,0,0,0,0,0,0,0,0
Male,0,No,No,52,Yes,1,No,0,0,0,0,0,0,2,No,Bank transfer,21.0,110720.0,0,0,0,0,0,0,0,0,0,0
Female,1,Yes,No,25,Yes,1,Fiber optic,1,2,2,1,2,2,0,Yes,Electronic check,98.5,251450.0,1,0,0,1,0,0,1,1,0,2
Male,0,No,No,1,Yes,1,No,0,0,0,0,0,0,0,No,Mailed check,20.2,2020.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,1,Yes,1,No,0,0,0,0,0,0,0,No,Electronic check,19.45,1945.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,38,Yes,2,Fiber optic,1,1,2,2,2,1,1,No,Bank transfer,95.0,360560.0,0,0,0,0,0,0,0,1,1,2
Female,1,Yes,No,66,No,0,DSL,1,2,2,1,2,1,1,No,Bank transfer,45.55,302725.0,0,0,0,0,0,0,1,1,0,2
Male,0,Yes,No,68,Yes,2,Fiber optic,1,2,2,2,2,2,2,Yes,Bank transfer,110.0,761185.0,1,0,0,1,0,0,1,1,1,3
Male,0,No,No,5,No,0,DSL,1,1,1,1,1,1,0,No,Mailed check,24.3,10020.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,72,Yes,2,Fiber optic,2,2,1,1,2,2,1,Yes,Electronic check,104.15,730305.0,0,0,1,1,1,1,1,0,0,2
Female,0,No,No,32,No,0,DSL,2,1,1,1,1,1,1,No,Mailed check,30.15,92765.0,0,0,0,0,0,1,0,0,0,1
Male,0,No,No,43,Yes,2,Fiber optic,1,1,1,1,2,2,1,No,Mailed check,94.35,392130.0,0,0,0,1,0,0,0,0,0,0
Male,0,Yes,Yes,72,Yes,1,No,0,0,0,0,0,0,2,No,Credit card,19.4,136325.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,No,55,Yes,2,Fiber optic,2,2,1,1,2,1,0,Yes,Electronic check,96.75,523890.0,1,0,1,0,0,1,1,0,0,2
Female,0,No,No,52,Yes,1,DSL,2,1,2,2,1,1,1,No,Credit card,57.95,304225.0,0,0,0,0,0,1,0,1,1,3
Female,0,No,No,43,Yes,1,Fiber optic,1,2,2,1,2,1,0,Yes,Electronic check,91.65,395410.0,0,0,0,0,0,0,1,1,0,2
Female,1,Yes,No,37,Yes,2,Fiber optic,1,1,1,1,1,1,0,Yes,Electronic check,76.5,286815.0,1,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,64,No,0,DSL,1,2,1,2,2,2,2,Yes,Electronic check,54.6,342350.0,0,0,0,1,0,0,1,0,1,2
Male,0,Yes,Yes,3,Yes,1,Fiber optic,2,2,1,1,2,1,0,No,Electronic check,89.85,24840.0,0,0,1,0,0,1,1,0,0,2
Female,0,No,No,36,No,0,DSL,2,1,1,1,1,1,2,No,Bank transfer,31.05,112635.0,0,0,0,0,0,1,0,0,0,1
Female,0,Yes,Yes,10,Yes,2,Fiber optic,2,1,1,1,2,2,0,Yes,Electronic check,100.25,106465.0,1,0,0,1,0,1,0,0,0,1
Female,0,No,No,41,Yes,1,No,0,0,0,0,0,0,2,No,Mailed check,20.65,83515.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,Yes,27,Yes,2,Fiber optic,1,2,1,2,1,1,0,Yes,Credit card,85.2,215160.0,0,0,0,0,0,0,1,0,1,2
Female,0,Yes,Yes,56,Yes,2,Fiber optic,1,1,2,1,2,2,1,Yes,Credit card,99.8,551545.0,0,0,0,1,0,0,0,1,0,1
Female,0,No,No,6,Yes,1,No,0,0,0,0,0,0,0,No,Mailed check,20.7,11275.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,3,Yes,2,Fiber optic,1,1,1,1,1,1,0,Yes,Electronic check,74.4,22955.0,1,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,7,Yes,1,DSL,2,1,1,1,1,1,0,No,Mailed check,50.7,35035.0,0,0,0,0,0,1,0,0,0,1
Female,0,Yes,Yes,4,Yes,1,No,0,0,0,0,0,0,0,No,Mailed check,20.85,6290.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,33,Yes,1,Fiber optic,2,1,1,2,2,1,2,Yes,Electronic check,88.95,302765.0,0,0,0,0,0,1,0,0,1,2
Female,1,No,No,27,Yes,2,Fiber optic,1,1,2,1,1,1,0,Yes,Electronic check,78.05,213550.0,1,0,0,0,0,0,0,1,0,1
Male,0,Yes,No,72,Yes,2,No,0,0,0,0,0,0,2,Yes,Bank transfer,23.55,172395.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,1,Yes,1,No,0,0,0,0,0,0,0,No,Mailed check,19.75,1975.0,0,0,0,0,0,0,0,0,0,0
Male,1,No,No,71,No,0,DSL,2,2,1,1,2,2,1,Yes,Electronic check,56.45,398535.0,0,0,1,1,1,1,1,0,0,2
Female,0,No,No,13,Yes,2,Fiber optic,1,1,1,1,1,2,0,Yes,Electronic check,85.95,121565.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,25,No,0,DSL,2,2,2,1,2,2,0,Yes,Credit card,58.6,150265.0,1,0,1,1,1,1,1,1,0,3
Male,0,No,No,67,Yes,1,DSL,1,1,1,2,1,1,2,No,Bank transfer,50.55,326010.0,0,0,0,0,0,0,0,0,1,1
Male,0,No,No,1,No,0,DSL,1,1,1,1,1,2,0,Yes,Electronic check,35.45,3545.0,1,0,0,0,0,0,0,0,0,0
Male,0,No,No,2,Yes,1,DSL,1,1,1,1,1,1,0,No,Electronic check,44.35,8125.0,1,0,0,0,0,0,0,0,0,0
Female,0,No,No,43,Yes,2,No,0,0,0,0,0,0,2,Yes,Credit card,25.7,118820.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,No,23,Yes,1,Fiber optic,2,1,1,1,1,1,0,Yes,Bank transfer,75.0,177850.0,0,0,0,0,0,1,0,0,0,1
Female,0,Yes,Yes,64,Yes,1,No,0,0,0,0,0,0,2,No,Mailed check,20.2,127775.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,Yes,57,Yes,1,No,0,0,0,0,0,0,2,Yes,Mailed check,19.6,117055.0,0,0,0,0,0,0,0,0,0,0
Female,1,Yes,No,1,Yes,1,Fiber optic,1,1,1,1,1,1,0,Yes,Mailed check,70.45,7045.0,1,0,0,0,0,0,0,0,0,0
Female,1,Yes,Yes,72,Yes,2,DSL,2,2,2,2,2,2,2,Yes,Credit card,88.05,642565.0,0,0,1,1,1,1,1,1,1,4
Female,0,No,No,8,Yes,2,DSL,2,1,1,2,1,2,0,No,Electronic check,71.15,56365.0,1,0,0,0,0,1,0,0,1,2
Female,0,Yes,No,61,Yes,2,Fiber optic,1,2,1,1,2,2,2,Yes,Bank transfer,101.05,597125.0,0,0,0,1,0,0,1,0,0,1
Male,0,No,No,64,Yes,2,Fiber optic,2,2,1,1,1,1,1,Yes,Credit card,84.3,528905.0,0,0,1,0,0,1,1,0,0,2
Male,1,Yes,No,71,Yes,2,No,0,0,0,0,0,0,2,No,Bank transfer,23.95,175620.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,65,Yes,2,Fiber optic,2,2,1,2,2,1,2,Yes,Credit card,99.05,641670.0,0,0,1,0,0,1,1,0,1,3
Male,0,No,No,3,Yes,1,No,0,0,0,0,0,0,1,No,Mailed check,19.6,6135.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,1,Yes,1,DSL,1,1,1,1,1,1,0,Yes,Electronic check,45.65,4565.0,1,0,0,0,0,0,0,0,0,0
Male,0,No,Yes,30,Yes,1,DSL,1,2,2,1,2,1,1,No,Credit card,64.5,192995.0,0,0,0,0,0,0,1,1,0,2
Male,0,Yes,Yes,15,Yes,1,DSL,1,2,2,2,1,2,0,Yes,Mailed check,69.5,107140.0,0,0,0,0,0,0,1,1,1,3
Female,0,Yes,Yes,8,Yes,1,DSL,1,1,1,2,2,2,0,Yes,Electronic check,68.55,56435.0,0,0,0,1,0,0,0,0,1,1
Male,0,No,No,7,Yes,2,Fiber optic,1,1,1,1,2,2,0,No,Mailed check,95.0,65550.0,1,0,0,1,0,0,0,0,0,0
Female,0,Yes,Yes,70,Yes,2,Fiber optic,2,2,2,1,2,2,1,Yes,Credit card,108.15,793055.0,0,0,1,1,1,1,1,1,0,3
Male,0,Yes,Yes,62,Yes,1,DSL,2,2,2,2,2,2,2,No,Electronic check,86.1,521525.0,0,0,1,1,1,1,1,1,1,4
Female,0,Yes,Yes,6,Yes,1,No,0,0,0,0,0,0,0,No,Mailed check,19.7,11350.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,Yes,14,Yes,1,Fiber optic,1,1,1,1,1,2,0,Yes,Bank transfer,80.9,115280.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,No,22,Yes,2,Fiber optic,1,1,1,1,2,1,0,Yes,Bank transfer,84.15,182195.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,Yes,22,Yes,1,No,0,0,0,0,0,0,1,No,Mailed check,20.15,41990.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,Yes,16,Yes,1,DSL,2,1,2,1,2,1,2,No,Mailed check,64.25,102400.0,0,0,0,0,0,1,0,1,0,2
Male,0,No,No,10,Yes,2,No,0,0,0,0,0,0,2,No,Bank transfer,25.7,25160.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,Yes,13,Yes,1,DSL,2,2,1,1,1,1,0,Yes,Electronic check,56.0,76455.0,0,0,1,0,0,1,1,0,0,2
Female,0,Yes,No,20,Yes,2,Fiber optic,2,1,1,1,1,1,0,No,Electronic check,82.4,159235.0,1,0,0,0,0,1,0,0,0,1
Female,0,No,No,2,Yes,1,Fiber optic,1,1,1,1,1,1,0,Yes,Electronic check,69.7,13520.0,0,0,0,0,0,0,0,0,0,0
Male,0,No,No,53,Yes,2,DSL,1,2,2,2,1,2,2,Yes,Bank transfer,73.9,395825.0,0,0,0,0,0,0,1,1,1,3
Female,0,Yes,Yes,11,Yes,1,No,0,0,0,0,0,0,1,No,Mailed check,20.6,23390.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,No,69,Yes,1,No,0,0,0,0,0,0,2,No,Mailed check,19.9,136345.0,0,0,0,0,0,0,0,0,0,0
Female,0,No,No,4,Yes,1,Fiber optic,1,1,1,1,1,1,0,Yes,Bank transfer,70.9,27300.0,1,0,0,0,0,0,0,0,0,0
Male,0,Yes,No,72,Yes,2,DSL,2,2,2,2,2,2,2,Yes,Bank transfer,89.05,625445.0,0,0,1,1,1,1,1,1,1,4
Male,1,Yes,No,58,No,0,DSL,1,2,2,1,1,2,0,Yes,Electronic check,45.3,265120.0,1,0,0,0,0,0,1,1,0,2
Female,0,Yes,Yes,16,Yes,1,No,0,0,0,0,0,0,0,No,Electronic check,20.4,32140.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,No,43,Yes,1,Fiber optic,2,1,2,2,1,1,1,Yes,Bank transfer,84.25,353925.0,0,0,0,0,0,1,0,1,1,3
Female,0,Yes,No,2,Yes,2,Fiber optic,1,1,2,2,2,2,0,Yes,Electronic check,104.4,24280.0,1,0,0,1,0,0,0,1,1,2
Male,0,Yes,No,14,Yes,1,DSL,1,2,2,2,2,2,2,No,Mailed check,81.95,118175.0,0,0,0,1,0,0,1,1,1,3
Female,0,Yes,No,53,Yes,1,Fiber optic,1,1,2,1,2,2,1,Yes,Bank transfer,94.85,500020.0,1,0,0,1,0,0,0,1,0,1
Female,0,No,No,32,Yes,1,No,0,0,0,0,0,0,1,No,Bank transfer,20.55,65455.0,0,0,0,0,0,0,0,0,0,0
Female,0,Yes,No,34,Yes,2,No,0,0,0,0,0,0,0,No,Electronic check,24.7,78020.0,0,0,0,0,0,0,0,0,0,0
Female,1,No,No,15,Yes,2,Fiber optic,1,1,1,1,1,1,0,Yes,Mailed check,74.45,114570.0,1,0,0,0,0,0,0,0,0,0
Female,1,No,No,7,Yes,1,Fiber optic,2,1,1,1,1,1,0,No,Bank transfer,76.45,50360.0,1,0,0,0,0,1,0,0,0,1
Female,0,Yes,Yes,15,Yes,2,Fiber optic,1,2,2,1,2,2,0,Yes,Bank transfer,105.35,155925.0,0,0,0,1,0,0,1,1,0,2
Male,0,Yes,No,61,Yes,1,No,0,0,0,0,0,0,1,Yes,Credit card,20.55,125200.0,0,0,0,0,0,0,0,0,0,0
